eraFlags, epochCount, epoch01, epoch02, epoch03, epoch04, epoch05, epoch06, epoch07, epoch08, epoch09, epoch10, epoch11, epoch12, epoch13, epoch14, epoch15,Sleep,Comments
8:44:30 pm,15, 7:1, 7:0, 7:1, 7:1, 7:0, 7:0, 6:1, 7:0, 7:0, 7:0, 7:0, 7:1, 7:0, 7:0, 7:1,,
8:47:00 pm,15, 7:0, 7:0, 7:0, 7:0, 7:1, 7:0, 7:0, 7:1, 7:0, 7:0, 7:0, 7:0, 7:0, 7:0, 7:0,,
8:49:30 pm,15, 7:0, 7:0, 7:0, 7:0, 7:0, 7:0, 7:0, 7:0, 7:0, 7:0, 7:0, 7:0, 7:0, 7:0, 7:0,,
8:52:00 pm,15, 7:0, 6:2, 7:0, 7:0, 7:1, 6:2, 7:0, 7:0, 7:0, 6:1, 7:1, 7:0, 7:0, 7:0, 7:0,,
8:54:30 pm,15, 7:1, 7:0, 7:0, 7:0, 7:0, 7:0, 7:1, 7:1, 7:0, 7:0, 7:0, 7:0, 7:1, 7:0, 7:1,,
8:57:00 pm,15, 7:0, 7:0, 7:0, 7:0, 7:0, 7:0, 7:0, 7:0, 7:0, 7:0, 7:0, 7:0, 7:1, 7:0, 7:0,,
8:59:30 pm,15, 7:0, 7:0, 7:0, 7:0, 7:1, 7:0, 7:0, 7:0, 7:0, 7:0, 7:0, 7:1, 7:0, 7:0, 7:1,,
9:02:00 pm,15, 7:0, 7:0, 7:0, 7:0, 7:0, 7:0, 7:0, 7:0, 7:1, 7:0, 7:1, 6:2, 7:1, 6:2, 7:1,,
9:04:30 pm,15, 7:1, 7:1, 7:1, 7:0, 7:0, 7:0, 7:0, 7:0, 7:0, 7:0, 7:0, 7:0, 7:0, 7:0, 7:0,,
9:07:00 pm,15, 7:1, 6:2, 7:1, 7:0, 7:0, 7:0, 7:1, 7:0, 7:0, 6:2, 6:2, 7:1, 6:2, 6:1, 6:3,0%,
9:09:30 pm,15, 6:2, 7:0, 6:3, 6:3, 5:0, 5:0, 6:3, 7:0, 7:0, 1:0, 6:2, 6:3, 6:2, 7:1, 5:0,0%,
9:12:00 pm,15, 1:0, 1:0, 6:3, 6:3, 5:0, 1:0, 6:3, 6:3, 6:3, 7:1, 7:0, 7:0, 7:0, 6:3, 7:0,0%,
9:14:30 pm,15, 7:0, 7:0, 7:0, 7:0, 7:0, 7:0, 7:0, 7:1, 6:2, 7:1, 6:2, 7:1, 7:0, 7:1, 7:0,0%,
9:17:00 pm,15, 7:1, 7:1, 7:0, 7:1, 6:2, 7:0, 7:1, 7:0, 7:1, 6:2, 7:0, 7:0, 7:0, 7:0, 7:0,0%,
9:19:30 pm,15, 7:0, 7:0, 7:0, 7:0, 7:0, 7:0, 7:0, 6:2, 7:0, 6:2, 7:1, 7:1, 7:0, 7:0, 7:1,0%,
9:22:00 pm,15, 6:2, 7:0, 7:1, 7:0, 7:0, 7:1, 7:0, 7:0, 7:0, 7:0, 7:1, 7:1, 7:1, 7:0, 7:0,0%,
9:24:30 pm,15, 7:0, 7:0, 7:0, 7:0, 7:0, 7:1, 7:1, 6:1, 7:0, 7:0, 7:0, 7:0, 7:0, 7:0, 7:0,0%,
9:27:00 pm,15, 7:0, 7:0, 7:0, 7:0, 7:0, 7:0, 7:0, 7:0, 7:0, 7:0, 7:0, 7:0, 7:0, 7:0, 7:0,0%,
9:29:30 pm,15, 7:0, 7:0, 7:0, 7:0, 7:0, 7:0, 6:2, 6:2, 7:1, 7:1, 6:2, 6:2, 6:1, 7:0, 7:0,0%,
9:32:00 pm,15, 7:0, 7:0, 7:1, 7:0, 7:0, 7:0, 7:0, 6:2, 7:1, 6:3, 7:1, 7:0, 7:0, 7:1, 7:1,0%,
9:34:30 pm,15, 6:2, 7:1, 6:2, 7:1, 7:0, 7:0, 7:0, 7:0, 6:1, 6:2, 7:0, 7:0, 7:0, 7:0, 7:0,0%,
9:37:00 pm,15, 7:0, 7:0, 7:0, 7:0, 7:1, 7:1, 6:2, 7:1, 7:0, 7:0, 7:0, 7:0, 7:0, 6:1, 6:3,0%,
